workappid,workappcategoryid,userid,usermanagerid,usertypeofworkid,userroleid,permissionlevelid,permissionlevelisprivileged,0f59352a-ac72-4939-a50a-968d45eaaa48,1b6fbbb5-c339-48b3-a687-3cf94743b6ed,28978f92-779b-4c5b-9158-ee2f50126e82,3539597d-bf7c-48a9-b17b-0a6797fd7a9c,51b9afbc-5cd2-4f0e-b6dd-df8ccc59349c,7a2e09e6-1c6c-48d9-9158-0c20522fea6e,9d443c13-9ecd-4968-aedb-b29091d86e0d,9ed4c25f-ddbf-4165-87f0-dbc21fec27d3,NULL,b0ea3967-d8ae-4d3b-8c67-36c8093b2f4f,b2461ae8-bdb8-4e26-b498-fcc5f24a11b5,f88e80cf-980b-4bfd-b20f-bedc16b70fdb
6316185116875363527907914939090461619,15,69254799405347329747307848454683955223,102791329747570101400175766977930966760,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,72784161769491099383259984999102727722,277571075826254762533973338928003681878,10.0,1,199522170379288336947514833756115402581,0,0,0,1,0,0,1,0,0,0,0,0,0
6316185116875363527907914939090461619,15,73900363821923530162700694139486103502,269060504179808300657734787876250564146,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,75239828157792444036679632407222929556,46665561627653219779574752096272683202,3.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,0,1,0,0
6316185116875363527907914939090461619,15,76194474048497938641747346622614620264,50831337730849944321952841902339968884,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,94263815134630781186594197421048272096,251199031965794254480841707643490226900,10.0,1,199522170379288336947514833756115402581,0,0,0,1,0,0,0,0,0,0,0,1,0
6316185116875363527907914939090461619,15,96330658555995957894406325583132859219,277571075826254762533973338928003681878,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,96873763539442595432041706935033757766,102791329747570101400175766977930966760,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,102791329747570101400175766977930966760,277571075826254762533973338928003681878,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,102996246827948493105882939420846875790,269060504179808300657734787876250564146,10.0,1,199522170379288336947514833756115402581,0,0,0,0,0,0,0,0,0,1,0,0,0
6316185116875363527907914939090461619,15,103322697210114184574142431536992361574,154190208446496852276784828394332851386,1.0,2,282682719609188436200225866485637232536,1,0,0,0,0,0,0,0,0,1,0,0,0
