userapproleid,workappid,workappname,workappcategoryid,userid,typeofworkname,userroleid,permissionlevelid,permissionlevelisprivileged
c6c5e729-17c4-46c3-a3cf-1e9aa2994b25,ee6aba37-d8a2-4a2a-92af-2533ff03b45d,Figma,6,deb3d94e-a06f-4cb5-90fc-66205ec6a8cd,Other,1,,
c6f39c3e-a37e-456c-8646-556adcc5ad74,935b2a47-fa53-4eb4-9d42-51b1c8341c46,LinkedIn,10,231b75d3-0305-40e5-ac91-ca70796a90c2,Design,2,,
c72a68e6-7a2e-4c21-ae2d-97e8cdacccba,b8177d69-82ad-467b-91e5-71df1b3fa13c,Intercom,16,07746f62-750a-467a-9b1a-373c3708e8fa,SoftwareDevelopment,1,,
cd604a76-d87d-4f99-a928-3ebe3a3f77b9,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,86d1c418-30f7-4e99-864b-775c9b9c0079,Other,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
cdc69886-6637-4ffa-84cc-0559aeb8d517,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,4d54e3d6-efc7-4ac5-83d1-640cae31b6e8,Other,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
cfa016b1-2986-4534-b5c2-6bfa86eccb41,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,d54cb0df-1c70-4575-9406-e02e3b2747cf,Other,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
c7dfe7cb-105f-4770-ae3d-eb321da73a0b,4ffa985d-fc96-405d-9842-46ad020818b0,Jira Software,9,706d03d6-b791-4189-99b2-c30154dad086,Other,1,,
05e0c166-7470-4554-b4ab-5055ce0599b5,9256411b-cba5-4546-9ddb-f8f05a03db2a,Slack,15,4f1a887b-d0f1-4238-90a2-baf72952b6b0,Other,1,c1201abb-fdc1-4802-be61-9b5770d29a47,False
c7f17781-7d9d-472a-9c73-c80c6ce53361,935b2a47-fa53-4eb4-9d42-51b1c8341c46,LinkedIn,10,2a1c73c0-2f69-49db-a136-dc47620c053d,Other,1,,
0022aeae-50ab-4a51-9ead-9204b3a35d15,b21c8e4c-596a-4dd4-bb41-faeb55816d92,Notion,9,25d26a43-a2be-4cae-8749-2026342a23e4,Other,1,db51ec9b-d12d-4451-ba76-cbe858e5e78e,False
c802c939-9b82-475f-9d4b-c36a9765fddd,de88ed6d-f93a-4089-8ab6-4f15449035f5,Ahrefs,12,a971c58a-89cb-4ef5-a7ed-e90168344abb,Administration,2,,
c817bc47-0136-41cf-a9c6-cfa07c3e74b0,0dfce50e-fde9-4ad8-b461-90d777b03b20,Confluence,9,70b89cb8-74c5-4d17-af7e-ea977a4daab1,Other,1,,
c82ac947-4a11-4151-ae72-49a0918667d7,7f6074d3-556f-450c-9ad9-05527558e0d2,Lokalise,12,48e1354c-c429-48d0-b4cf-65169ffb8046,Other,1,,
c874a5d6-34a6-4135-b6c2-dc2a26366c4f,a30938b2-564e-4eb9-a2e4-496c80eff28e,Modjo,4,e549f806-aecd-4347-93e3-3f217bb5d9f7,Other,1,,
c8d070fd-19ee-4d75-aaa7-6a32b37d9ef4,af812ab2-75f6-4181-b300-b9073b175b61,June,7,68be0762-db03-4de1-a241-e0c1e149610e,Other,1,,
c9aa929c-bc99-48a2-b443-11eae5e7ba89,b21c8e4c-596a-4dd4-bb41-faeb55816d92,Notion,9,6224a41c-fcb8-4c8d-bde6-faddbb5682cb,Design,1,db51ec9b-d12d-4451-ba76-cbe858e5e78e,False
cb1a8d4d-0d09-42f0-8913-4d58e8926dde,b21c8e4c-596a-4dd4-bb41-faeb55816d92,Notion,9,170a5d54-967f-430c-b607-9775bf0a42e6,Administration,3,db51ec9b-d12d-4451-ba76-cbe858e5e78e,False
c6dfa124-02bf-47ec-a870-cc897ee9fb16,b21c8e4c-596a-4dd4-bb41-faeb55816d92,Notion,9,7d3503cb-c277-4cbb-95d4-b75b8e29dc23,Other,1,db51ec9b-d12d-4451-ba76-cbe858e5e78e,False
